Gia_tri,So_luong
"['cocos2d', 'cocos2d-x', 'c/c++', 'cocos creator', 'lập trình hướng đối tượng (oop)', 'kinh nghiệm phát triển game mobile', 'giải thuật và cấu trúc dữ liệu', 'lua hoặc javascript']",2
"['giao tiếp', 'quản lý dự án', 'phân tích nghiệp vụ', 'giải quyết vấn đề', 'viết tài liệu (srs, use case,...)', 'viết tài liệu (brd, srs, use case)', 'xây dựng tài liệu nghiệp vụ (brd, srs)', 'kỹ năng thuyết trình', 'agile/scrum', 'kiến thức về công nghệ', 'ux/ui']",2
"['sketchup', 'adobe indesign']",2
"['golang', 'scala', 'lập trình hướng đối tượng (oop)', 'cấu trúc dữ liệu và giải thuật', 'thiết kế hệ thống']",2
"['kỹ năng làm việc nhóm', 'kỹ năng giao tiếp tốt', 'khả năng phân tích và giải quyết vấn đề', 'kiến thức cơ bản về an ninh mạng', 'hiểu biết về các nguyên tắc bảo mật thông tin']",2
"['adobe premiere', 'thiết kế đồ họa', 'motion graphics', 'after effects', 'tư duy sáng tạo']",2
"['giao tiếp', 'phân tích dữ liệu', 'kiểm tra chất lượng', 'báo cáo', 'giải quyết vấn đề']",2
"['ai', 'designer pod', 'thiết kế đồ họa', 'sử dụng thành thạo các phần mềm thiết kế (adobe photoshop, illustrator)', 'kinh nghiệm thiết kế cho pod (print on demand)']",2
"['giao tiếp', 'tư duy sáng tạo', 'khả năng học hỏi nhanh', 'sử dụng phần mềm thiết kế (photoshop, illustrator, indesign,...)', 'kỹ năng vẽ tay (nếu cần)']",2
"['kỹ năng đàm phán', 'kỹ năng bán hàng', 'giao tiếp tiếng anh', 'tiếng nhật (n2 trở lên)', 'kinh nghiệm phát triển kinh doanh', 'kỹ năng giải quyết vấn đề', 'kỹ năng làm việc nhóm', 'kỹ năng quản lý dự án', 'kinh nghiệm làm việc với đối tác nhật bản', 'kiến thức về văn hóa kinh doanh nhật bản']",2
