job_id,title,job_field,company,salary_max,salary_min,salary_negotiable,location_city,posted_date,skills,industry,job_level,source
tcv_2058,Process Quality Assurance (PQA),Tester,Công ty Cổ phần 9Pay,0.0,0.0,1.0,Hà Nội,11/10/2025,"['phân tích yêu cầu', 'Viết Testcase', 'Thực Hiện Test Case', 'Kiểm Tra Chất Lượng Phần Mềm', 'Báo Cáo Lỗi (bug Reporting)']","['Chuyên môn Process Quality Assurance (PQA)', 'IT - Phần mềm', 'Nghỉ thứ 7']",Junior,TopCV
tcv_2059,Mobile Developer,Developer,Braly JSC,25000000.0,15000000.0,0.0,Hà Nội,13/09/2025,"['Kotlin', 'Android SDK', 'Android studio', 'RESTful APIs', 'Json/Xml']","['Chuyên môn Mobile Developer', 'IT - Phần mềm']",Junior,TopCV
tcv_2060,DevOps Engineer,Developer,Công ty CP Công nghệ phần mềm và nội dung số OSP,50000000.0,50000000.0,0.0,Hà Nội,17/09/2025,[],"['Chuyên môn DevOps Engineer', 'Nghỉ thứ 7']",Junior,TopCV
tcv_2061,IT Helpdesk/IT support,Support,CÔNG TY TNHH TECHNOASIA,11000000.0,7000000.0,0.0,Đà Nẵng,10/09/2025,"['Khắc Phục Sự Cố Phần Mềm', 'Kiến Thức Về Bảo Mật Thông Tin']","['Chuyên môn IT Helpdesk/IT support', 'IT - Phần mềm', 'Tuổi 20 - 28']",Intern,TopCV
tcv_2062,Sales IT Phần mềm khác,Sales,Công ty Cổ phần 9Pay,0.0,0.0,1.0,Hà Nội,31/08/2025,"['Phân Tích Thị Trường', 'phát triển kinh doanh', 'Giao Tiếp Và Đàm Phán']","['Chuyên môn Sales IT Phần mềm khác', 'B2B', 'Thương mại điện tử', 'IT - Phần mềm']",Junior,TopCV
tcv_2063,AI Engineer,Developer,Alphaway Technology,31000000.0,31000000.0,0.0,Hà Nội,20/09/2025,"['Lập Trình Python', 'Học Máy (machine Learning)', 'Học Sâu (deep Learning)', 'Xử Lý Ngôn Ngữ Tự Nhiên (nlp)', 'thống kê']","['Chuyên môn AI Engineer', 'IT - Phần mềm', 'Ngân hàng', 'Tài chính', 'Nghỉ thứ 7']",Junior,TopCV
tcv_2064,Mobile Developer,Developer,CÔNG TY TNHH ISB VIỆT NAM,20000000.0,10000000.0,0.0,Hồ Chí Minh,14/09/2025,"['Swift', 'Kotlin', 'Ios Development', 'Android Development', 'Mobile Ui Ux Design Principles', 'REST API', 'Swift/Kotlin']","['Chuyên môn Mobile Developer', 'IT - Phần mềm', 'Nghỉ thứ 7', 'Tiếng Anh TOEIC 700', 'Tiếng Nhật JLPT N4']",Junior,TopCV
tcv_2065,Manual Tester,Tester,CÔNG TY TNHH MỘT THÀNH VIÊN AN NINH MẠNG VIETTEL,0.0,0.0,1.0,Hà Nội,30/09/2025,"['Kiến Thức Về Kiểm Thử Phần Mềm', 'Kỹ Năng Viết Test Case', 'Kỹ Năng Thực Hiện Test Case', 'Kỹ Năng Báo Cáo Lỗi', 'Kỹ Năng Phân Tích Yêu Cầu']","['Chuyên môn Manual Tester', 'IT - Phần mềm']",Junior,TopCV
tcv_2066,Kinh doanh phần mềm,Sales,Unit Corp,0.0,0.0,1.0,Hồ Chí Minh,11/09/2025,"['ERP', 'Thuyết trình', 'Sales', 'Xây dựng mối quan hệ', 'Relationship Management', 'Bán Hàng', 'Banking', 'Expand new account', 'B2B Sales', 'phát triển kinh doanh', 'Enterprises', 'sales IT', 'It Sales', 'Software Sales', 'Quản lý thời gian', 'Tiếng Anh', 'Lập Kế Hoạch', 'Giải quyết vấn đề', 'Tư duy chiến lược']","['Chuyên môn Kinh doanh phần mềm', 'Direct Sales', 'B2B', 'IT - Phần mềm', 'Tài chính', 'Ngân hàng', 'Nghỉ thứ 7', 'Tiếng Anh Giao tiếp thành thạo']",Mid,TopCV
tcv_2067,Kinh doanh phần mềm,Sales,Công ty Cổ Phần Base Enterprise,50000000.0,30000000.0,0.0,Hải Phòng,30/08/2025,"['Xây dựng mối quan hệ', 'Đàm phán', 'Bán Hàng', 'phát triển kinh doanh']","['Chuyên môn Kinh doanh phần mềm', 'B2B', 'IT - Phần mềm']",Mid,TopCV
