job_id,title,job_domain,company_name,company_url,city,work_mode,employment_type,salary_min,salary_max,is_negotiable,benefits,skills_raw,skills_standardized,experience_min_years,experience_max_years,experience_level,posted_date,deadline_date,source,industry
,,,,,,,,,,,,,,,,,,,CareViet,['Other']
,,,,,,,,,,,,,,,,,,,CareViet,['Other']
,,,,,,,,,,,,,,,,,,,CareViet,['Other']
33,ai engineer,AI/ML,Tổng Công Ty Cổ Phần Bảo Hiểm Ngân Hàng TMCP Công Thương Việt Nam,https://careerviet.vn/vi/nha-tuyen-dung/tong-cong-ty-co-phan-bao-hiem-ngan-hang-tmcp-cong-thuong-viet-nam.35A6E2EB.html,Hà Nội,,Full-time,0,0,1,"['Bảo hiểm', 'Đào tạo']",[],[],2,5,Middle,16/08/2025,14/09/2025,CareViet,['IT/Software']
34,data engineer,Data,Công Ty Cổ Phần Chuỗi Thực Phẩm TH,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-tap-doan-th.35A61E0D.html,Hà Nội,,Full-time,0,0,1,[],"['python', 'sql']","['python', 'sql']",1,2,Junior,15/08/2025,14/09/2025,CareViet,['IT/Software']
,,,,,,,,,,,,,,,,,,,CareViet,['Other']
,,,,,,,,,,,,,,,,,,,CareViet,['Other']
37,marketing,Other,Công ty TNHH MTV Thông tin M1 - Tập đoàn Viễn thông Quân đội (VIETTEL),https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-mtv-thong-tin-m1-tap-doan-vien-thong-quan-doi-viettel.35A89063.html,Hà Nội,,Full-time,0,0,1,[],[],[],5,5,Senior,15/08/2025,15/09/2025,CareViet,['Sales/Marketing']
38,công nghệ điện tử,Other,Công ty TNHH MTV Thông tin M1 - Tập đoàn Viễn thông Quân đội (VIETTEL),https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-mtv-thong-tin-m1-tap-doan-vien-thong-quan-doi-viettel.35A89063.html,Hà Nội,,Full-time,0,0,1,['Đào tạo'],['go'],['go'],3,3,Middle,15/08/2025,25/08/2025,CareViet,['Other']
39,backend developer,Backend,"Un-Available LTD Co.,",https://careerviet.vn/vi/nha-tuyen-dung/un-available-ltd-co.35A572DD.html,Hồ Chí Minh,,Full-time,0,0,1,[],[],[],2,3,Middle,14/08/2025,2025-07-09 00:00:00,CareViet,['IT/Software']
40,business analyst,BA/PM/PO,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),https://careerviet.vn/vi/nha-tuyen-dung/ngan-hang-tmcp-ngoai-thuong-viet-nam-vietcombank.35A90413.html,Hà Nội,,Full-time,0,0,1,[],[],[],3,3,Middle,14/08/2025,31/12/2025,CareViet,['Consulting']
41,qa engineer,QA/Testing,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),https://careerviet.vn/vi/nha-tuyen-dung/ngan-hang-tmcp-ngoai-thuong-viet-nam-vietcombank.35A90413.html,Hà Nội,,Full-time,0,0,1,[],[],[],2,2,Middle,14/08/2025,31/12/2025,CareViet,['IT/Software']
42,security engineer,Security,Công Ty Cổ Phần Giải Pháp Thanh Toán Việt Nam (VNPAY),https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-giai-phap-thanh-toan-viet-nam-vnpay.35A794AD.html,Hà Nội,,Full-time,0,0,1,[],[],[],1,1,Junior,13/08/2025,2025-11-09 00:00:00,CareViet,['IT/Software']
43,giải pháp an toàn thông tin cyber security,Security,CÔNG TY CỔ PHẦN TƯ VẤN VÀ DỊCH VỤ CÔNG NGHỆ ASIC,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-tu-van-va-dich-vu-cong-nghe-asic.35AA0103.html,Hồ Chí Minh,,Full-time,20800000,39000000,0,[],[],[],1,2,Junior,13/08/2025,2025-11-09 00:00:00,CareViet,['IT/Software']
44,security engineer,Security,Công ty cổ phần Liên Doanh ô tô Hyundai Thành Công Việt Nam,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-lien-doanh-o-to-hyundai-thanh-cong-viet-nam.35A9FEFC.html,Hà Nội,,Full-time,0,0,1,[],[],[],0,0,Intern,13/08/2025,2025-11-09 00:00:00,CareViet,['IT/Software']
45,it support engineer,Other,CÔNG TY TNHH AUSSCO VIỆT NAM,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-aussco-viet-nam.35AA0A96.html,Bình Dương,Remote,Full-time,0,0,1,['Work from home'],[],[],2,2,Middle,2025-11-08 00:00:00,2025-04-09 00:00:00,CareViet,['IT/Software']
,,,,,,,,,,,,,,,,,,,CareViet,['Other']
47,business analyst,BA/PM/PO,CÔNG TY CỔ PHẦN THƯƠNG MẠI & DỊCH VỤ MEDLATEC GROUP,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-thuong-mai-dich-vu-medlatec-group.35A76F5E.html,Hà Nội,,Full-time,14000000,20000000,0,[],[],[],2,5,Middle,2025-10-08 00:00:00,2025-08-09 00:00:00,CareViet,['Consulting']
48,technical,Other,CÔNG TY CỔ PHẦN CHỨNG KHOÁN ASEAN,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-chung-khoan-asean.35A95F80.html,Hà Nội,,Full-time,0,0,1,[],"['java', 'angular']","['java', 'angular']",4,4,Senior,2025-09-08 00:00:00,2025-07-09 00:00:00,CareViet,['Other']
,,,,,,,,,,,,,,,,,,,CareViet,['Other']
,,,,,,,,,,,,,,,,,,,CareViet,['Other']
,,,,,,,,,,,,,,,,,,,CareViet,['Other']
,,,,,,,,,,,,,,,,,,,CareViet,['Other']
53,it auditor kiểm toán công nghệ thông tin,Other,Công Ty Tài Chính TNHH Một Thành Viên Quốc Tế Việt Nam JACCS,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tai-chinh-tnhh-mot-thanh-vien-quoc-te-viet-nam-jaccs.35A60332.html,Hồ Chí Minh,,Full-time,15000000,20000000,0,"['Bảo hiểm', 'Đào tạo', 'Thưởng']",[],[],3,4,Middle,2025-09-08 00:00:00,2025-07-09 00:00:00,CareViet,['IT/Software']
,,,,,,,,,,,,,,,,,,,CareViet,['Other']
55,lập trình viên erpnext,Other,CÔNG TY CỔ PHẦN BMP GROUP,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-bmp-group.35A9F094.html,Hồ Chí Minh,,Other,0,0,1,['Đào tạo'],[],[],3,5,Middle,2025-08-08 00:00:00,2025-06-09 00:00:00,CareViet,['Other']
56,giảng viên công nghệ thông tin,Other,Trường Đại Học Đông Á - Đà Nẵng,https://careerviet.vn/vi/nha-tuyen-dung/truong-dai-hoc-dong-a-da-nang.35A6CB55.html,Đà Nẵng,,Full-time,15000000,20000000,0,['Đào tạo'],['go'],['go'],2,3,Middle,2025-08-08 00:00:00,2025-06-09 00:00:00,CareViet,['Other']
57,devops engineer,DevOps,CÔNG TY CỔ PHẦN THƯƠNG MẠI & DỊCH VỤ MEDLATEC GROUP,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-thuong-mai-dich-vu-medlatec-group.35A76F5E.html,Hà Nội,,Full-time,25000000,35000000,0,[],"['python', 'java', 'sql', 'go', 'nodejs']","['python', 'java', 'sql', 'go', 'nodejs']",3,5,Middle,2025-07-08 00:00:00,25/08/2025,CareViet,['IT/Software']
,,,,,,,,,,,,,,,,,,,CareViet,['Other']
59,crm,Other,Công ty cổ phần Liên Doanh ô tô Hyundai Thành Công Việt Nam,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-lien-doanh-o-to-hyundai-thanh-cong-viet-nam.35A9FEFC.html,Hà Nội,,Full-time,0,0,1,['Đào tạo'],[],[],0,0,Intern,2025-02-08 00:00:00,31/08/2025,CareViet,['Other']
60,digital data analysis,Other,Công ty TNHH Olam Việt Nam,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-olam-viet-nam.35A78F67.html,Đồng Nai,,Internship,0,0,1,[],"['sql', 'go']","['sql', 'go']",0,0,Intern,31/07/2025,28/08/2025,CareViet,['IT/Software']
61,risk modelling data science,Other,FE CREDIT,https://careerviet.vn/vi/nha-tuyen-dung/fe-credit.35A637C6.html,Hồ Chí Minh,,Full-time,0,0,1,[],"['python', 'sql']","['python', 'sql']",2,3,Middle,26/07/2025,24/08/2025,CareViet,['Other']
