job_id,title,job_field,company,salary_max,salary_min,salary_negotiable,location_city,deadline,skills,industry,experience_min,experience_max,job_level,source
TCV1112,Kinh doanh Domain/Hosting/Server,data,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ NINA,0,0,1,Hồ Chí Minh,30/10/2025,"['Kiến Thức Cơ Bản Về Phát Triển Web (html, Css, Javascript)', 'Khả Năng Học Hỏi Nhanh', 'Kỹ năng làm việc nhóm', 'Kỹ năng giao tiếp', 'Kỹ năng giải quyết vấn đề']","['Chuyên môn Kinh doanh Domain/Hosting/Server', 'B2B']",0,0.0,Intern,TopCV
TCV1113,DevOps Engineer,developer,FPT Software,0,0,1,Hà Nội,21/09/2025,"['CI/CD', 'Infrastructure As Code (iac)', 'Cloud Computing (aws, Azure, Gcp)', 'Containerization (docker, Kubernetes)', 'Automation']","['Chuyên môn DevOps Engineer', 'Nghỉ thứ 7']",3,3.0,Junior,TopCV
TCV1114,IT Helpdesk/IT support,support,CÔNG TY CỔ PHẦN FIVE-STAR E-LEARNING,10000000,8000000,0,Hà Nội,11/09/2025,"['Khắc Phục Sự Cố Phần Cứng', 'Khắc Phục Sự Cố Phần Mềm', 'Kiến Thức Về Hệ Điều Hành Windows Và Macos', 'Hỗ Trợ Kỹ Thuật Máy Tính', 'Quản Trị Mạng Cơ Bản']","['Chuyên môn IT Helpdesk/IT support', 'IT - Phần cứng và máy tính', 'Điện / Điện tử / Điện lạnh']",1,1.0,Junior,TopCV
TCV1115,Kinh doanh Domain/Hosting/Server,data,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ NINA,0,0,1,Hồ Chí Minh,30/09/2025,"['Làm việc nhóm', 'Kỹ năng giải quyết vấn đề', 'Giao tiếp tốt', 'Thành thạo tin học văn phòng', 'Khả Năng Học Hỏi Nhanh']","['Chuyên môn Kinh doanh Domain/Hosting/Server', 'Telesales', 'B2B', 'B2C', 'B2G', 'Có hỗ trợ Data', 'Nghỉ thứ 7', 'Diễn đạt trôi chảy', 'Tuổi 18 - 26']",0,0.0,Intern,TopCV
TCV1116,Backend Developer,developer,CÔNG TY TNHH HILAB TECHNOLOGY,25000000,15000000,0,Đà Nẵng,12/09/2025,"['API RESTful', 'Kiến Trúc Phần Mềm', 'Cơ Sở Dữ Liệu (sql, Nosql)', 'Kiểm Thử Phần Mềm (unit Testing, Integration Testing)', 'Ngôn Ngữ Lập Trình (java, Python, Node.js, Php, Ruby, Go, V.v.)']","['Chuyên môn Backend Developer', 'Nghỉ thứ 7']",3,3.0,Junior,TopCV
TCV1117,Software Tester (Automation & Manual),developer,CÔNG TY TNHH MUMESOFT INNOVATION,0,0,1,Hà Nội,07/09/2025,"['phân tích yêu cầu', 'Kiểm thử phần mềm', 'Thực Hiện Test Case', 'Báo Cáo Lỗi', 'Thiết Kế Test Case']","['Chuyên môn Software Tester (Automation & Manual)', 'IT - Phần mềm', 'Nghỉ thứ 7']",4,4.0,Mid,TopCV
TCV1118,Công nghệ thông tin khác,other,Công ty CP Chứng khoán SSI,0,0,1,Hà Nội,18/09/2025,"['Kỹ năng làm việc nhóm', 'Cloud', 'Khả năng giải quyết vấn đề', 'splunk', 'Khả Năng Phân Tích', 'Kỹ Năng Sử Dụng Các Công Cụ Quản Lý Mạng (wireshark, Solarwinds)', 'Hỗ Trợ Ứng Dụng', 'Kiến Thức Về Ứng Dụng', 'Lập Trình', 'phân tích hệ thống', 'Itil', 'Hỗ Trợ Ứng Dụng']","['Chuyên môn Công nghệ thông tin khác', 'Tài chính', 'Chứng khoán', 'Điện toán đám mây (Cloud)', 'Nghỉ thứ 7', 'Tiếng Anh Đọc hiểu', 'Tuổi 28 - 38']",1,1.0,Junior,TopCV
TCV1119,Thiết kế đồ họa (Graphic Design),design,Công ty Cổ phần Thương mại Dịch vụ 4B,17000000,15000000,0,Hồ Chí Minh,28/09/2025,"['Adobe InDesign', 'Adobe Premiere', 'After Effects', 'Adobe Photoshop', 'Adobe Illustrator', 'Tư duy sáng tạo', 'Thiết kế đồ họa']","['Chuyên môn Thiết kế đồ họa (Graphic Design)', 'Chăm sóc sức khỏe / Làm đẹp']",1,1.0,Junior,TopCV
TCV1120,Backend Developer,developer,CÔNG TY CỔ PHẦN CROW GAMING,20000000,15000000,0,Hà Nội,26/09/2025,"['Java', 'RESTful API', 'Data Structures And Algorithms', 'Spring Framework (spring Boot, Spring Mvc, Spring Data)', 'Relational Databases (e.g., Mysql, Postgresql)']","['Chuyên môn Backend Developer', 'IT - Phần mềm', 'Game', 'Nghỉ thứ 7']",2,2.0,Junior,TopCV
TCV1121,Kinh doanh phần mềm,sales,CÔNG TY CỔ PHẦN GIẢI PHÁP FIRST TRUST,20000000,15000000,0,Hà Nội,18/09/2025,"['Thuyết trình', 'Xây dựng mối quan hệ', 'Đàm phán', 'Giao tiếp', 'Bán Hàng', 'Quản Lý Dự Án', 'Chốt Sales', 'Kỹ năng làm việc nhóm', 'tư duy phản biện', 'Lập Kế Hoạch Kinh Doanh']","['Chuyên môn Kinh doanh phần mềm', 'Telesales', 'Online Sales', 'B2B', 'B2C', 'B2G', 'Tài chính', 'Kế toán', 'Kiểm toán', 'Có hỗ trợ Data', 'Nghỉ thứ 7', 'Giọng miền Bắc', 'Phát âm chuẩn']",0,1.0,Intern,TopCV
