job_id,job_url,source,title,title_clean,job_level_from_title,job_role,job_level,job_level_source,job_field,job_field_source,company,company_norm,locations,location_primary,location,work_type,work_type_detail,salary,salary_min,salary_max,salary_currency,salary_period,salary_min_vnd,salary_max_vnd,salary_is_negotiable,fx_rate_used,posted_datetime,posted_date,industry_list,industry,industry_source,job_domain,skills,skills_count
vnw_00111,https://www.vietnamworks.com/chuyen-vien-devopsam-1952426-jv?searchType=2&sortBy=date,vnw,Chuyên Viên Devops/am,DevOps Engineer,Middle,DevOps,Mid,title_inferred,DevOps,source_field,Ngân Hàng TNHH MTV Việt Nam Hiện Đại (Modern Bank Of Vietnam - MBV),ngnhngtnhhmtvvitnamhinimodernbankofvietnammbv,"[""Hà Nội""]",Hà Nội,Hà Nội,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-29 00:00:00,2025-08-29,"[""Banking""]",Banking,industry/title/skills/company,"[""Banking""]","[""Devops"", ""Cicd"", ""Kubernetes"", ""Docker"", ""Python""]",5
vnw_00112,https://www.vietnamworks.com/vietnam-r-d-lead-team-lead-founding-member--1945084-jv?searchType=2&sortBy=date,vnw,Vietnam R&D Lead / Team Lead Founding Member,Vietnam R&D Lead / Team Lead Founding Member,Senior,Others,Lead,experience,Unspecified,unspecified,Channelwill,channelwill,"[""TP. Hồ Chí Minh""]",TP. Hồ Chí Minh,TP. Hồ Chí Minh,Unspecified,,"$ 2,500-4,000 /tháng",2500.0,4000.0,USD,month,65975000.0,105560000.0,False,FX:USD=26390,2025-08-25 00:00:00,2025-08-25,"[""IT Services / Software""]",IT Services / Software,industry/title/skills/company,[],"[""Golang Development"", ""Full Stack Development"", ""React"", ""R&D Management"", ""English Or Chinese""]",5
vnw_00113,https://www.vietnamworks.com/business-analystproduct-owner-1949936-jv?searchType=2&sortBy=date,vnw,Business Analyst/Product Owner,PM/BA,Unspecified,Data,Lead,experience,PM/BA,title,Công Ty Cổ Phần Thương Mại Và Dịch Vụ Green Future,cngtycphnthngmivdchvgreenfuture,"[""Hà Nội""]",Hà Nội,Hà Nội,Unspecified,,"$ 1,500-3,000 /tháng",1500.0,3000.0,USD,month,39585000.0,79170000.0,False,FX:USD=26390,2025-08-25 00:00:00,2025-08-25,[],IT Services / Software,fallback,[],"[""Phân Tích Chiến Lược"", ""Phân Tích Dữ Liệu"", ""Phát Triển Sản Phẩm"", ""Quản Lý Danh Mục"", ""Đàm Phán""]",5
vnw_00114,https://www.vietnamworks.com/c-c-plus-plus-software-engineer-salary-up-to-2500-hybrid-working--1944604-jv?searchType=2&sortBy=date,vnw,C / C++ Software Engineer - Salary Up to 2500$ - Hybrid Working,Software Engineer / Developer,Unspecified,Developer,Mid,experience,Developer,title,LG Electronics Development Vietnam Company Limited,lgelectronicsdevelopmentvietnamcompanylimited,"[""Unspecified""]",Unspecified,Unspecified,Hybrid,,"$ 800-2,500 /tháng",800.0,2500.0,USD,month,21112000.0,65975000.0,False,FX:USD=26390,2025-08-11 00:00:00,2025-08-11,"[""Semiconductor / Electronics"", ""IT Services / Software""]",Semiconductor / Electronics,industry/title/skills/company,[],"[""C++"", ""C"", ""Software Development"", ""Oop""]",4
vnw_00115,https://www.vietnamworks.com/android-devevloper-hybrid-working-salary-up-to-2500--1944606-jv?searchType=2&sortBy=date,vnw,Android Devevloper (Hybrid Working - Salary Up to 2500$),Mobile Developer,Unspecified,Developer,Unknown,title_inferred,Developer,title,LG Electronics Development Vietnam Company Limited,lgelectronicsdevelopmentvietnamcompanylimited,"[""Đà Nẵng""]",Đà Nẵng,Đà Nẵng,Hybrid,,"$ 800-2,500 /tháng",800.0,2500.0,USD,month,21112000.0,65975000.0,False,FX:USD=26390,2025-08-11 00:00:00,2025-08-11,"[""Automotive"", ""Semiconductor / Electronics"", ""IT Services / Software""]",Automotive,industry/title/skills/company,"[""Automotive""]","[""Java Spring Framework"", ""Software Engineering"", ""Automotive""]",3
vnw_00116,https://www.vietnamworks.com/it-staff-application-developer-1949573-jv?searchType=2&sortBy=date,vnw,IT Staff (Application Developer),Software Engineer / Developer,Senior,Developer,Senior,title_inferred,Developer,title,Panasonic Appliances Vietnam,panasonicappliancesvietnam,"[""Hà Nội""]",Hà Nội,Hà Nội,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-22 00:00:00,2025-08-22,"[""IT Services / Software""]",IT Services / Software,industry/title/skills/company,[],"[""Software Development Tools"", ""C#"", ""Power Apps"", ""Cloud Ai"", ""Python Developer""]",5
vnw_00117,https://www.vietnamworks.com/it-application-operation-up-to-35mil-vnd-1930551-jv?searchType=2&sortBy=date,vnw,IT Application Operation (Up to 35Mil VND),IT Application Operation (Up to 35Mil VND),Unspecified,Others,Senior,experience,Unspecified,unspecified,Công Ty TNHH LOTTE C&F Vietnam,cngtytnhhlottecfvietnam,"[""TP. Hồ Chí Minh""]",TP. Hồ Chí Minh,TP. Hồ Chí Minh,Unspecified,,Tới 35tr ₫/tháng,,35000000.0,VND,month,,35000000.0,False,FX:VND=1.0,2025-08-07 00:00:00,2025-08-07,"[""Retail"", ""Consulting / Outsourcing"", ""IT Services / Software""]",Retail,industry/title/skills/company,"[""Retail""]","[""Application Support"", ""Information Technology"", ""Application Programming"", ""It Infrastructure"", ""Network""]",5
vnw_00118,https://www.vietnamworks.com/lap-trinh-vien-net--1933698-jv?searchType=2&sortBy=date,vnw,Lập Trình Viên (.NET),Lập Trình Viên (.NET),Unspecified,Others,Mid,experience,Unspecified,unspecified,Tổng Công Ty Bảo Hiểm BIDV (BIC),tngcngtybohimbidvbic,"[""Hà Nội""]",Hà Nội,Hà Nội,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-19 00:00:00,2025-08-19,"[""Banking"", ""Insurance"", ""IT Services / Software""]",Banking,industry/title/skills/company,"[""Banking""]","[""Lập Trình"", "".NET"", ""Csdl Sql"", ""Nghiên Cứu Công Nghệ Mới"", ""Quản Trị Phần Mềm""]",5
vnw_00119,https://www.vietnamworks.com/security-software-engineer-sse-relocate-to-dubai-uae-1935862-jv?searchType=2&sortBy=date,vnw,"Security Software Engineer (SSE) - Relocate to Dubai, UAE",Security Engineer,Unspecified,Security,Mid,experience,Security,title,Virtual Security LAB CYBER RISK Management Services L.L.C,virtualsecuritylabcyberriskmanagementservicesllc,"[""Hà Nội"", ""TP. Hồ Chí Minh""]",Hà Nội,Hà Nội | TP. Hồ Chí Minh,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-19 00:00:00,2025-08-19,"[""IT Services / Software""]",IT Services / Software,industry/title/skills/company,[],"[""Api Development"", ""Application Security Assessment"", ""Cryptography"", ""Firewalls""]",4
vnw_00120,https://www.vietnamworks.com/penetration-tester-pt-relocate-to-dubai-uae-1935866-jv?searchType=2&sortBy=date,vnw,"Penetration Tester (PT) - Relocate to Dubai, UAE",QA Engineer / Tester,Unspecified,Tester,Mid,experience,Tester,source_field,Virtual Security LAB CYBER RISK Management Services L.L.C,virtualsecuritylabcyberriskmanagementservicesllc,"[""Hà Nội"", ""TP. Hồ Chí Minh""]",Hà Nội,Hà Nội | TP. Hồ Chí Minh,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-19 00:00:00,2025-08-19,[],IT Services / Software,fallback,[],"[""Application Security Testing"", ""Cloud Security"", ""Network Security"", ""Penetration Testing"", ""Vulnerability Scanning""]",5
