Gia_tri,So_luong
"['it - phần mềm', 'game', 'tài chính']",2
"['xây dựng', 'bất động sản', 'báo chí']",2
"['direct sales', 'b2b', 'it - phần mềm', 'tuổi 22 - 40']",2
"['thương mại điện tử', 'viễn thông', 'điện toán đám mây (cloud)']",2
['tuổi 24 - 35'],2
"['b2b', 'marketing / quảng cáo', 'quan hệ công chúng', 'có hỗ trợ data']",2
"['an ninh mạng', 'it - phần cứng và máy tính', 'it - phần mềm', 'tiếng anh toeic 800', 'tiếng anh ielts 6.0']",2
"['it - phần cứng và máy tính', 'thiết kế / kiến trúc', 'it - phần mềm']",2
"['it - phần mềm', 'tiếng anh đọc hiểu', 'tiếng anh giao tiếp cơ bản']",2
"['it - phần mềm', 'thương mại điện tử', 'tiếng anh giao tiếp thành thạo']",2
"['it - phần mềm', 'từ 24 tuổi trở lên']",2
"['it - phần mềm', 'ngân hàng', 'bảo hiểm', 'tiếng anh giao tiếp thành thạo']",2
"['it - phần mềm', 'điện toán đám mây (cloud)', 'an ninh mạng', 'tiếng anh giao tiếp cơ bản']",2
"['báo chí', 'marketing / quảng cáo', 'thiết kế / kiến trúc']",2
"['thương mại điện tử', 'it - phần mềm', 'tuổi 24 - 28']",2
"['it - phần cứng và máy tính', 'it - phần mềm', 'an ninh mạng', 'tiếng anh giao tiếp cơ bản', 'tiếng anh giao tiếp thành thạo']",2
['tuổi 22 - 25'],2
"['it - phần mềm', 'làm tại nhà']",2
"['it - phần mềm', 'từ 25 tuổi trở lên']",2
['bất động sản'],2
"['telesales', 'b2c', 'b2b', 'it - phần cứng và máy tính', 'it - phần mềm', 'thương mại điện tử', 'diễn đạt trôi chảy']",2
"['thương mại điện tử', 'it - phần mềm', 'tuổi 24 - 30']",2
"['thiết kế / kiến trúc', 'marketing / quảng cáo', 'từ 20 tuổi trở lên']",2
"['thương mại điện tử', 'công nghệ kỹ thuật', 'it - phần mềm']",2
"['thiết kế / kiến trúc', 'may mặc / thời trang', 'tiếng anh đọc hiểu']",2
"['it - phần cứng và máy tính', 'it - phần mềm', 'an ninh mạng', 'từ 50 tuổi trở xuống']",2
"['it - phần mềm', 'tiếng anh ielts 7.0', 'tiếng anh giao tiếp thành thạo']",2
"['thiết kế / kiến trúc', 'marketing / quảng cáo', 'tuổi 18 - 35']",2
"['it - phần cứng và máy tính', 'it - phần mềm', 'tuổi 24 - 30']",2
"['telesales', 'b2b', 'có hỗ trợ data']",2
"['it - phần mềm', 'bất động sản']",2
"['online sales', 'b2b', 'it - phần mềm']",2
"['telesales', 'online sales', 'b2b', 'it - phần cứng và máy tính', 'it - phần mềm', 'có hỗ trợ data', 'diễn đạt trôi chảy', 'tuổi 25 - 45']",2
"['bất động sản', 'thiết kế / kiến trúc']",2
"['bán lẻ - hàng tiêu dùng - fmcg', 'may mặc / thời trang', 'thiết kế / kiến trúc', 'tuổi 22 - 30']",2
"['may mặc / thời trang', 'mỹ thuật / nghệ thuật / điện ảnh', 'thiết kế / kiến trúc']",2
"['b2b', 'b2c', 'it - phần mềm', 'thương mại điện tử', 'bán lẻ - hàng tiêu dùng - fmcg']",2
['b2g'],2
"['thương mại điện tử', 'bán lẻ - hàng tiêu dùng - fmcg']",2
"['direct sales', 'telesales', 'online sales', 'b2b', 'diễn đạt trôi chảy', 'phát âm chuẩn']",2
"['direct sales', 'b2b', 'it - phần mềm', 'tuổi 20 - 27']",2
['tuổi 18 - 30'],2
